城市,年,年均温,年降水
西安,2016,15.11,632.9
西安,2017,14.88,698.4
西安,2018,15.02,514.9
西安,2019,14.6,630.9
西安,2020,14.39,698.7
西安,2021,14.66,1053.5
西安,2022,15.17,672.5
西安,2023,14.43,766.2
西安,2024,15.95,557.5
西安,2025,15.99,678.8
