年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2013,1.1,4.67,12.82,15.75,20.41,25.25,26.51,27.33,22.14,17.31,8.1,2.39
2014,3.4,2.34,10.91,15.18,19.48,25.06,28.12,24.25,19.7,15.49,8.04,1.35
2015,2.37,4.5,9.94,14.93,20.56,23.05,26.57,25.36,20.69,15.15,8.74,2.9
2016,0.52,3.41,10.77,16.59,19.61,25.4,26.93,28.43,22.06,14.83,8.23,4.56
2017,1.53,4.58,8.85,15.87,21.32,25.67,31.11,26.69,20.64,13.35,7.58,1.34
2018,-2.72,2.81,12.37,17.6,21.31,26.33,28.84,30.65,20.54,14.75,7.34,0.38
2019,-0.1,2.86,11.53,17.88,20.77,25.17,27.09,26.35,20.05,13.92,7.7,2.01
2020,1.06,5.0,11.5,15.59,22.35,24.42,25.54,24.9,21.17,12.92,8.36,-0.17
2021,0.76,6.48,11.01,14.28,21.5,26.06,27.7,25.83,21.07,12.95,6.36,1.86
2022,1.04,2.34,12.3,17.32,20.91,27.82,27.79,28.44,20.61,13.78,9.14,0.52
2023,0.31,4.44,11.61,14.66,19.15,24.04,27.46,25.83,21.98,14.8,7.69,1.19
2024,0.23,2.22,11.55,18.94,23.05,27.12,26.34,28.5,26.37,15.97,9.48,1.61
2025,0.61,3.1,10.59,20.47,23.89,27.0,30.91,29.22,19.86,14.14,8.89,3.23
