年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2011,-9.47,0.39,1.86,13.44,17.0,22.95,23.89,23.17,15.72,11.18,4.85,-2.83
2012,-6.05,-3.61,5.07,13.01,17.41,22.88,22.72,22.49,16.39,11.29,1.27,-3.53
2013,-3.64,-0.44,9.43,13.54,18.38,22.06,22.26,22.86,17.09,12.71,3.53,-1.27
2014,-0.97,-1.95,6.9,11.82,16.83,21.04,23.53,20.96,17.18,11.39,2.99,-2.75
2015,-1.0,0.21,6.74,12.79,17.9,21.49,23.64,22.78,16.99,11.55,4.65,-3.03
2016,-5.25,-1.17,6.77,13.27,16.24,22.64,24.12,24.64,18.16,11.0,3.77,0.33
2017,-2.82,0.79,4.14,12.28,17.66,21.43,25.58,20.75,17.84,10.31,4.32,-2.34
2018,-5.25,-2.07,9.82,12.89,17.88,22.8,23.02,22.57,16.05,10.75,3.23,-4.79
2019,-4.62,-0.58,6.57,15.38,15.89,20.59,22.35,21.97,17.61,10.7,3.64,-1.66
2020,-2.34,1.27,6.8,12.15,17.62,21.69,22.46,20.9,16.92,10.63,4.16,-3.98
2021,-4.14,3.21,8.33,10.78,17.86,21.82,25.12,22.69,18.98,10.31,1.83,-1.83
2022,-2.36,-2.0,9.51,13.61,18.31,23.64,24.17,23.82,18.21,12.23,4.75,-4.14
2023,-4.75,-0.1,8.23,11.36,17.51,22.31,24.11,23.9,19.52,11.77,3.36,-2.21
2024,-3.0,-1.25,6.93,13.75,20.1,21.92,24.71,24.53,18.93,11.7,5.06,-4.16
2025,-3.69,-0.88,3.74,13.16,18.32,21.62,24.15,21.4,17.87,10.55,3.36,-1.65
