年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2014,4.0,32.4,38.6,79.6,65.3,58.7,23.1,146.8,249.0,54.1,39.4,1.8
2015,8.8,16.1,35.7,67.1,60.2,193.5,5.3,78.9,131.3,65.2,53.1,5.3
2016,6.4,15.0,10.1,57.8,49.2,112.9,127.2,21.2,101.3,77.6,35.3,18.9
2017,4.4,18.3,51.3,56.5,54.5,93.7,48.8,137.6,92.3,132.2,8.5,0.3
2018,25.9,11.1,30.1,49.4,51.1,89.6,108.8,20.3,84.4,8.0,30.8,5.4
2019,6.9,11.7,5.7,41.0,40.4,92.7,58.7,111.4,162.0,80.4,16.4,3.6
2020,21.1,13.1,18.8,15.2,63.2,126.7,114.9,162.8,44.7,79.9,31.1,7.2
2021,3.2,42.5,26.6,79.0,47.2,66.6,201.2,131.4,334.6,89.9,18.2,13.1
2022,17.4,7.2,35.0,52.4,32.2,70.8,159.9,128.8,29.6,93.8,38.8,6.6
2023,3.5,20.2,29.4,116.5,99.8,79.0,110.8,129.0,87.5,64.6,15.5,10.4
2024,4.4,13.5,30.7,35.9,38.8,32.8,207.3,44.5,65.1,37.4,45.5,1.6
2025,29.1,4.8,38.7,6.5,41.7,48.6,73.1,50.5,220.3,141.6,10.4,13.5
